id,text,isAllDay,isRecommended,isSynced,idGoogleEvent,createdAt,updatedAt,endAt,startAt,idType
1266,Night Routine,0,0,0,,2022-01-08 18:46:14.45,2022-01-08 18:46:14.45,2022-03-07 22:00:00,2022-03-07 21:00:00,127
1267,Night Routine,0,0,0,,2022-01-08 18:46:14.465,2022-01-08 18:46:14.465,2022-03-08 22:00:00,2022-03-08 21:00:00,127
1268,Morning Routine,0,0,0,,2022-01-08 18:46:14.716,2022-01-08 18:46:14.716,2022-01-08 10:00:00,2022-01-08 08:00:00,127
1269,Morning Routine,0,0,0,,2022-01-08 18:46:14.728,2022-01-08 18:46:14.728,2022-01-09 10:00:00,2022-01-09 08:00:00,127
1270,Morning Routine,0,0,0,,2022-01-08 18:46:14.74,2022-01-08 18:46:14.74,2022-01-10 10:00:00,2022-01-10 08:00:00,127
1271,Morning Routine,0,0,0,,2022-01-08 18:46:14.752,2022-01-08 18:46:14.752,2022-01-11 10:00:00,2022-01-11 08:00:00,127
1272,Morning Routine,0,0,0,,2022-01-08 18:46:14.764,2022-01-08 18:46:14.764,2022-01-12 10:00:00,2022-01-12 08:00:00,127
1273,Morning Routine,0,0,0,,2022-01-08 18:46:14.776,2022-01-08 18:46:14.776,2022-01-13 10:00:00,2022-01-13 08:00:00,127
1274,Morning Routine,0,0,0,,2022-01-08 18:46:14.79,2022-01-08 18:46:14.79,2022-01-14 10:00:00,2022-01-14 08:00:00,127
1275,Morning Routine,0,0,0,,2022-01-08 18:46:14.803,2022-01-08 18:46:14.803,2022-01-15 10:00:00,2022-01-15 08:00:00,127
1276,Morning Routine,0,0,0,,2022-01-08 18:46:14.815,2022-01-08 18:46:14.815,2022-01-16 10:00:00,2022-01-16 08:00:00,127
1277,Morning Routine,0,0,0,,2022-01-08 18:46:14.827,2022-01-08 18:46:14.827,2022-01-17 10:00:00,2022-01-17 08:00:00,127
1278,Morning Routine,0,0,0,,2022-01-08 18:46:14.84,2022-01-08 18:46:14.84,2022-01-18 10:00:00,2022-01-18 08:00:00,127
1279,Morning Routine,0,0,0,,2022-01-08 18:46:14.853,2022-01-08 18:46:14.853,2022-01-19 10:00:00,2022-01-19 08:00:00,127
1280,Morning Routine,0,0,0,,2022-01-08 18:46:14.866,2022-01-08 18:46:14.866,2022-01-20 10:00:00,2022-01-20 08:00:00,127
1281,Morning Routine,0,0,0,,2022-01-08 18:46:14.878,2022-01-08 18:46:14.878,2022-01-21 10:00:00,2022-01-21 08:00:00,127
1282,Morning Routine,0,0,0,,2022-01-08 18:46:14.894,2022-01-08 18:46:14.894,2022-01-22 10:00:00,2022-01-22 08:00:00,127
1283,Morning Routine,0,0,0,,2022-01-08 18:46:14.908,2022-01-08 18:46:14.908,2022-01-23 10:00:00,2022-01-23 08:00:00,127
1284,Morning Routine,0,0,0,,2022-01-08 18:46:14.921,2022-01-08 18:46:14.921,2022-01-24 10:00:00,2022-01-24 08:00:00,127
1285,Morning Routine,0,0,0,,2022-01-08 18:46:14.936,2022-01-08 18:46:14.936,2022-01-25 10:00:00,2022-01-25 08:00:00,127
1286,Morning Routine,0,0,0,,2022-01-08 18:46:14.947,2022-01-08 18:46:14.947,2022-01-26 10:00:00,2022-01-26 08:00:00,127
1287,Morning Routine,0,0,0,,2022-01-08 18:46:14.961,2022-01-08 18:46:14.961,2022-01-27 10:00:00,2022-01-27 08:00:00,127
1288,Morning Routine,0,0,0,,2022-01-08 18:46:14.974,2022-01-08 18:46:14.974,2022-01-28 10:00:00,2022-01-28 08:00:00,127
1289,Morning Routine,0,0,0,,2022-01-08 18:46:14.986,2022-01-08 18:46:14.986,2022-01-29 10:00:00,2022-01-29 08:00:00,127
1290,Morning Routine,0,0,0,,2022-01-08 18:46:14.999,2022-01-08 18:46:14.999,2022-01-30 10:00:00,2022-01-30 08:00:00,127
1291,Morning Routine,0,0,0,,2022-01-08 18:46:15.011,2022-01-08 18:46:15.011,2022-01-31 10:00:00,2022-01-31 08:00:00,127
1292,Morning Routine,0,0,0,,2022-01-08 18:46:15.027,2022-01-08 18:46:15.027,2022-02-01 10:00:00,2022-02-01 08:00:00,127
1293,Morning Routine,0,0,0,,2022-01-08 18:46:15.04,2022-01-08 18:46:15.04,2022-02-02 10:00:00,2022-02-02 08:00:00,127
1294,Morning Routine,0,0,0,,2022-01-08 18:46:15.055,2022-01-08 18:46:15.055,2022-02-03 10:00:00,2022-02-03 08:00:00,127
1295,Morning Routine,0,0,0,,2022-01-08 18:46:15.067,2022-01-08 18:46:15.067,2022-02-04 10:00:00,2022-02-04 08:00:00,127
1296,Morning Routine,0,0,0,,2022-01-08 18:46:15.079,2022-01-08 18:46:15.079,2022-02-05 10:00:00,2022-02-05 08:00:00,127
1297,Morning Routine,0,0,0,,2022-01-08 18:46:15.092,2022-01-08 18:46:15.092,2022-02-06 10:00:00,2022-02-06 08:00:00,127
1298,Morning Routine,0,0,0,,2022-01-08 18:46:15.107,2022-01-08 18:46:15.107,2022-02-07 10:00:00,2022-02-07 08:00:00,127
1299,Morning Routine,0,0,0,,2022-01-08 18:46:15.121,2022-01-08 18:46:15.121,2022-02-08 10:00:00,2022-02-08 08:00:00,127
1300,Morning Routine,0,0,0,,2022-01-08 18:46:15.135,2022-01-08 18:46:15.135,2022-02-09 10:00:00,2022-02-09 08:00:00,127
1301,Morning Routine,0,0,0,,2022-01-08 18:46:15.15,2022-01-08 18:46:15.15,2022-02-10 10:00:00,2022-02-10 08:00:00,127
1302,Morning Routine,0,0,0,,2022-01-08 18:46:15.163,2022-01-08 18:46:15.163,2022-02-11 10:00:00,2022-02-11 08:00:00,127
1303,Morning Routine,0,0,0,,2022-01-08 18:46:15.176,2022-01-08 18:46:15.176,2022-02-12 10:00:00,2022-02-12 08:00:00,127
