id,idType,idEndpoint,idMoment,idFlexibility,dateTiem,createdAt,updatedAt
117,81,84,89,25,2022-01-07 00:00:00,2022-01-07 11:27:36.738,2022-01-07 11:27:36.738
118,81,84,89,25,2022-01-07 00:00:00,2022-01-07 11:38:45.734,2022-01-07 11:38:45.734
119,81,84,89,25,2022-01-07 00:00:00,2022-01-07 11:41:32.457,2022-01-07 11:41:32.457
120,81,84,89,25,2022-01-07 00:00:00,2022-01-07 11:41:56.942,2022-01-07 11:41:56.942
121,80,85,88,25,2021-12-30 10:00:00,2022-01-07 15:08:08.045,2022-01-07 15:08:08.045
122,80,84,88,25,2021-12-30 08:00:00,2022-01-07 15:08:08.045,2022-01-07 15:08:08.045
123,80,84,87,25,2021-07-28 00:00:00,2022-01-07 15:08:08.045,2022-01-07 15:08:08.045
124,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:31:18.133,2022-01-07 16:31:18.133
125,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:31:18.133,2022-01-07 16:31:18.133
126,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:31:18.133,2022-01-07 16:31:18.133
127,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:39:46.955,2022-01-07 16:39:46.955
128,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:39:46.955,2022-01-07 16:39:46.955
129,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:39:46.954,2022-01-07 16:39:46.954
130,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:41:44.516,2022-01-07 16:41:44.516
131,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:41:44.516,2022-01-07 16:41:44.516
132,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:41:44.516,2022-01-07 16:41:44.516
133,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:42:42.131,2022-01-07 16:42:42.131
134,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:42:42.131,2022-01-07 16:42:42.131
135,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:42:42.13,2022-01-07 16:42:42.13
136,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:42:57.464,2022-01-07 16:42:57.464
137,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:42:57.463,2022-01-07 16:42:57.463
138,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:42:57.463,2022-01-07 16:42:57.463
139,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:43:04.948,2022-01-07 16:43:04.948
140,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:43:04.948,2022-01-07 16:43:04.948
141,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:43:04.948,2022-01-07 16:43:04.948
142,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:43:17.35,2022-01-07 16:43:17.35
143,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:43:17.35,2022-01-07 16:43:17.35
144,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:43:17.35,2022-01-07 16:43:17.35
145,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:43:25.435,2022-01-07 16:43:25.435
146,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:43:25.434,2022-01-07 16:43:25.435
147,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:43:25.434,2022-01-07 16:43:25.434
148,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:43:29.615,2022-01-07 16:43:29.615
149,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:43:29.615,2022-01-07 16:43:29.615
150,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:43:29.615,2022-01-07 16:43:29.615
151,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:48:33.6,2022-01-07 16:48:33.6
152,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:48:33.6,2022-01-07 16:48:33.6
153,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:48:33.6,2022-01-07 16:48:33.6
154,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:49:51.092,2022-01-07 16:49:51.092
155,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:49:51.092,2022-01-07 16:49:51.092
156,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:49:51.091,2022-01-07 16:49:51.091
157,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:50:08.419,2022-01-07 16:50:08.419
158,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:50:08.419,2022-01-07 16:50:08.419
159,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:50:08.419,2022-01-07 16:50:08.419
160,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:52:01.741,2022-01-07 16:52:01.741
161,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:52:01.741,2022-01-07 16:52:01.741
162,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:52:01.74,2022-01-07 16:52:01.74
163,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:52:20.808,2022-01-07 16:52:20.808
164,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:52:20.808,2022-01-07 16:52:20.808
165,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:52:20.808,2022-01-07 16:52:20.808
166,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:56:18.71,2022-01-07 16:56:18.71
