106|Slider||Control - Slider field type of the inventory log item|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
107|Numberpad||Control - Nuberpad field type of the inventory log item|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
108|Counter||Control - Up down tally counter field type of the inventory log item|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
109|Textbox||Control - Textbox field type of the inventory log item|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
110|Textarea||Control - Textarea field type of the inventory log item|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
111|Textblock||Control - Prevents having to create mapping tables for properties that are just a bunch of textblocks|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
112|Dropdown||Control - Dropdown field type for Inventory log item. The dropdown values are determined my other values that were used for the field|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
113|Date Type||Root|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
114|Int||Data Type|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
115|Double||Data Type|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
116|String||Data Type|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
117|Boolean||Data Type|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
118|Object||Data Type|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
119|BriefingType||Root|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
120|Briefing||Briefing Type|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
121|Debriefing||Briefing Type|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
122|Event Type||Root|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
123|Event|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
124|All-Day|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
125|Todo|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
126|Task|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
127|Routine|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
128|Routine 2||(This isn’t actually anything as yet. It’s for, just in case)|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
129|Task Routine|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
130|Sub-Type|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
131|Sleep|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
132|Breifing|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
133|Meal|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
134|Workout|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
135|Log|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
136|Inventory|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
137|Time|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
138|Repetitive|||2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
